# data for simulation time and efficiency comparision between
# exact and hybrid algorithms
#
# fitness landscape: static increasing
# number of genotipic classes: 20
# population size: 1000
# 
exact_simulation,exact_elapsed,hybrid_simulation,hybrid_elapsed
3744.093466377269,1355.105337381363,4161.788544169884,104.96130871772766
3263.965264870404,1100.0457499027252,4206.26200526438,164.80579161643982
3609.780957313569,1250.1161937713623,3344.3520838162594,114.36622643470764
4294.830524597641,1334.7817556858063,2962.290788243889,87.98125410079956
4202.488286292914,1580.5178182125092,

3521.422253037509,1085.174703836441,2866.8353374355256,102.95189714431763
4263.454958505534,1726.3371732234955,3315.778927050892,103.11313366889954
3630.637282553023,1030.7009613513947,2435.9518122787313,85.75155472755432
3618.1207088368783,1367.204327583313,3869.627042491597,130.31438493728638
3627.12072923989,1422.056489944458,2754.812962677618,96.8849139213562
