#
# number of genotipic classes: 4
# population size: 10000
# 
dynamic_dec_simul,dynamic_dec_elpsd,dynamic_dec_state
not_converge,350.67080640792847,[9704.  296.    0.    0.    0.]
not_converge,341.9288730621338,[9423.  577.    0.    0.    0.]
19845.711302089123,105.88342213630676,[9.659e+03 3.060e+02 0.000e+00 3.400e+01 1.000e+00]
not_converge,342.4141104221344,[9870.  130.    0.    0.    0.]
not_converge,354.8141369819641,[9954.   46.    0.    0.    0.]
not_converge,344.0076422691345,[9938.   62.    0.    0.    0.]
not_converge,358.88748478889465,[9926.   74.    0.    0.    0.]
not_converge,349.14339089393616,[9.997e+03 3.000e+00 0.000e+00 0.000e+00 0.000e+00]
not_converge,344.6271131038666,[9869.  131.    0.    0.    0.]
not_converge,346.57515025138855,[9133.  840.   27.    0.    0.]
not_converge,345.1550090312958,[9981.   19.    0.    0.    0.]
not_converge,343.72661423683167,[9934.   66.    0.    0.    0.]
not_converge,340.658540725708,[9897.  103.    0.    0.    0.]
not_converge,355.24560475349426,[9907.   93.    0.    0.    0.]
not_converge,348.44752168655396,[9.771e+03 2.220e+02 7.000e+00 0.000e+00 0.000e+00]
not_converge,356.8993136882782,[9934.   66.    0.    0.    0.]
not_converge,335.33692502975464,[9420.  580.    0.    0.    0.]
not_converge,348.8709366321564,[9887.  113.    0.    0.    0.]
not_converge,345.12384605407715,[9843.  157.    0.    0.    0.]
not_converge,342.11097860336304,[9590.  410.    0.    0.    0.]
